EventCode,status_code,signature,CategoryString,action,result,change_type,object_category
512,-,Windows NT is starting up,Security State Change,,,,
513,-,Windows is shutting down,Security State Change,,,,
514,-,An authentication package has been loaded by the Local Security Authority,,,,,
515,-,A trusted logon process has registered with the Local Security Authority,,,,,
516,-,"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits",,,,,
517,-,The audit log was cleared,,cleared,,audit,audit
518,-,A notification package has been loaded by the Security Account Manager,,,,,
519,-,A process is using an invalid local procedure call (LPC) port,,,,,
520,-,The system time was changed,,,,,
528,-,Successful Logon,,,,,
529,-,Logon Failure: Unknown user name or bad password,,,,,
530,-,Logon Failure: Account logon time restriction violation,,,,,
531,-,Logon Failure: Account currently disabled,,,,,
532,-,Logon Failure: The specified user account has expired,Logon/Logoff Event,failure,,,
533,-,Logon Failure: User not allowed to logon at this computer,,,,,
534,-,Logon Failure: The user has not been granted the requested logon type at this machine,,,,,
535,-,Logon Failure: The specified account's password has expired,Logon/Logoff Event,failure,,,
536,-,The NetLogon component is not active,,,,,
537,-,Logon Failure: The logon attempt failed for other reasons.,,,,,
538,-,User Logoff,,,,,
539,-,Logon Failure: Account locked out,Logon/Logoff Event,failure,,,
540,-,Successful Network Logon,,,,,
551,-,User initiated logoff,,,,,
552,-,Logon attempt using explicit credentials,,,,,
560,-,Object Open,,,,,
561,-,Handle Allocated,,,,,
562,-,Handle Closed,,,,,
563,-,Object Open for Delete,,,,,
564,-,Object Deleted,,,,,
565,-,Object Open (Active Directory),,,,,
566,-,Object Operation (W3 Active Directory),,,,,
567,-,Object Access Attempt,,,,,
576,-,Special privileges assigned to new logon,,,,,
577,-,Privileged Service Called,,,,,
578,-,Privileged object operation,,,,,
592,-,A new process has been created,,,,,
593,-,A process has exited,,,,,
594,-,A handle to an object has been duplicated,,,,,
595,-,Indirect access to an object has been obtained,,,,,
600,-,A process was assigned a primary token,,,,,
601,-,Attempt to install service,,,,,
602,-,Scheduled Task created,,,,,
608,-,User Right Assigned,,,,,
609,-,User Right Removed,,,,,
610,-,New Trusted Domain,Authentication Policy Change,,,Authentication,policy
611,-,Removing Trusted Domain,Authentication Policy Change,,,Authentication,policy
612,-,Audit Policy Change,,,,,
613,-,IPSec policy agent started,,,,,
614,-,IPSec policy agent disabled,,,,,
615,-,IPSEC PolicyAgent Service,,,,,
616,-,IPSec policy agent encountered a potentially serious failure.,,,,,
617,-,Kerberos Policy Changed,,,,,
618,-,Encrypted Data Recovery Policy Changed,,,,,
619,-,Quality of Service Policy Changed,,,,,
620,-,Trusted Domain Information Modified,Authentication Policy Change,,,Authentication,policy
621,-,System Security Access Granted,,,,,
622,-,System Security Access Removed,,,,,
623,-,Per User Audit Policy was refreshed,,,,,
624,-,User Account Created,User Account Management,created,,Authentication,user
625,-,User Account Type Changed,User Account Management,modified,,Authentication,user
626,-,User Account Enabled,User Account Management,modified,,Authentication,user
627,-,Change Password Attempt,User Account Management,modified,,Authentication,user
628,-,User Account password set,User Account Management,modified,,Authentication,user
629,-,User Account Disabled,User Account Management,modified,,Authentication,user
630,-,User Account Deleted,User Account Management,deleted,,Authentication,user
631,-,Security Enabled Global Group Created,Security Group Management,created,,Authorization,group:sec
632,-,Security Enabled Global Group Member Added,Security Group Management,modified,,Authorization,group:sec
633,-,Security Enabled Global Group Member Removed,Security Group Management,modified,,Authorization,group:sec
634,-,Security Enabled Global Group Deleted,Security Group Management,deleted,,Authorization,group:sec
635,-,Security Enabled Local Group Created,Security Group Management,created,,Authorization,group:sec
636,-,Security Enabled Local Group Member Added,Security Group Management,modified,,Authorization,group:sec
637,-,Security Enabled Local Group Member Removed,Security Group Management,modified,,Authorization,group:sec
638,-,Security Enabled Local Group Deleted,Security Group Management,deleted,,Authorization,group:sec
639,-,Security Enabled Local Group Changed,Security Group Management,modified,,Authorization,group:sec
640,-,General Account Database Change,,,,,
641,-,Security Enabled Global Group Changed,Security Group Management,modified,,Authorization,group:sec
642,-,User Account Changed,User Account Management,modified,,Authorization,user
643,-,Domain Policy Changed,Other Account Management,modified,,domain,policy
644,-,User Account Locked Out,User Account Management,modified,lockout,user,user
