EventCode,status_code,signature,CategoryString,action,result,change_type,object_category
1100,-,The event logging service has shut down,,stopped,,audit,audit
1101,-,Audit events have been dropped by the transport.,,,,,
1102,-,The audit log was cleared,,cleared,,audit,audit
1104,-,The security Log is now full,,stopped,,audit,audit
1105,-,Event log automatic backup,,,,,
1108,-,The event logging service encountered an error,,,,audit,audit
4500,-,Metabase Add Key,,,,,
4501,-,Metabase Delete Key,,,,,
4502,-,Metabase Delete Chid Keys,,,,,
4503,-,Metabase Copy Key,,,,,
4504,-,Metabase Rename Key,,,,,
4505,-,Metabase Set Data,,,,,
4506,-,Metabase Delete Data,,,,,
4507,-,Metabase Delete All Data,,,,,
4508,-,Metabase Copy Data,,,,,
4509,-,Metabase Set Last Change Time,,,,,
4510,-,Metabase Restore,,,,,
4511,-,Metabase Delete Backup,,,,,
4512,-,Metabase Import,,,,,
4608,-,Windows is starting up,Security State Change,,,,
4609,-,Windows is shutting down,Security State Change,,,,
4610,-,An authentication package has been loaded by the Local Security Authority,Security System Extension,,,,
4611,-,A trusted logon process has been registered with the Local Security Authority,Security System Extension,,,,
4612,-,"Internal resources allocated for the queuing of audit messages have been exhausted, leading to the loss of some audits.",Security System Extension,,,,
4614,-,A notification package has been loaded by the Security Account Manager.,Security System Extension,,,,
4615,-,Invalid use of LPC port,System Event,,,,
4616,-,The system time was changed.,Security State Change,updated,,,
4618,-,A monitored security event pattern has occurred,,,,,
4621,-,Administrator recovered system from CrashOnAuditFail,,,,,
4622,-,A security package has been loaded by the Local Security Authority.,Security System Extension,,,,
4624,-,An account was successfully logged on,Logon/Logoff Event,success,,,
4625,0xc0000022,Logon Failure: A process has requested access to an object but has not been granted those access rights.,Logon/Logoff Event,failure,,,
4625,0xc000005E,Logon Failure: No logon servers are currently available to service the logon request.,Logon/Logoff Event,failure,,,
4625,0xc000005F,Logon Failure: The specified logon session does not exist. It may already have been terminated.,Logon/Logoff Event,failure,,,
4625,0xc0000064,Logon Failure: The specified account does not exist.,Logon/Logoff Event,failure,,,
4625,0xc000006A,Logon Failure: User name is correct but the password is wrong,Logon/Logoff Event,failure,,,
4625,0xc000006D,Logon Failure: The attempted logon is invalid. This is either due to a bad username or authentication information.,Logon/Logoff Event,failure,,,
4625,0xc000006F,Logon Failure: User tried to logon outside his day of week or time of day restrictions,Logon/Logoff Event,failure,,,
4625,0xc0000070,Logon Failure: Workstation restriction,Logon/Logoff Event,failure,,,
4625,0xc0000071,Logon Failure: The user account password has expired.,Logon/Logoff Event,failure,,,
4625,0xc0000072,Logon Failure: The referenced account is currently disabled and may not be logged on to.,Logon/Logoff Event,failure,,,
4625,0xc0000073,Logon Failure: None of the information to be translated has been translated.,Logon/Logoff Event,failure,,,
4625,0xc000007A,Logon Failure: Indicates the specified procedure address cannot be found in the DLL.,Logon/Logoff Event,failure,,,
4625,0xc00000BB,Logon Failure: The request is not supported.,Logon/Logoff Event,failure,,,
4625,0xc00000DC,Logon Failure: Indicates the Sam Server was in the wrong state to perform the desired operation,Logon/Logoff Event,failure,,,
4625,0xc00000FE,Logon Failure: A specified authentication package is unknown.,Logon/Logoff Event,failure,,,
4625,0xc0000133,Logon Failure: Clocks between DC and other computer too far out of sync,Logon/Logoff Event,failure,,,
4625,0xc000015B,"Logon Failure: A user has requested a type of logon (for example, interactive or network) that has not been granted. An administrator has control over who may logon interactively and through the network.",Logon/Logoff Event,failure,,,
4625,0xc000018B,Logon Failure: The SAM database on the Windows Server does not have a computer account for this workstation trust relationship.,Logon/Logoff Event,failure,,,
4625,0xc000018C,Logon Failure: The logon request failed because the trust relationship between the primary domain and the trusted domain failed.,Logon/Logoff Event,failure,,,
4625,0xc000018D,Logon Failure: The logon request failed because the trust relationship between this workstation and the primary domain failed.,Logon/Logoff Event,failure,,,
4625,0xc0000192,"Logon Failure: An attempt was made to logon, but the Netlogon service was not started.",Logon/Logoff Event,failure,,,
4625,0xc0000193,Logon Failure: The user account has expired.,Logon/Logoff Event,failure,,,
4625,0xc0000224,Logon Failure: The user password must be changed before logging on the first time.,Logon/Logoff Event,failure,,,
4625,0xc0000225,Logon Failure: Evidently a bug in Windows and not a risk,Logon/Logoff Event,failure,,,
4625,0xc0000234,Logon Failure: User is currently locked out,Logon/Logoff Event,failure,,,
4625,0xc00002A6,Logon Failure: The directory service is unavailable.,Logon/Logoff Event,failure,,,
4625,0xc00002EE,Logon Failure: A security context was deleted before the context was completed. This is considered a logon failure.,Logon/Logoff Event,failure,,,
4625,0xc0000413,Logon Failure: The machine you are logging onto is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine.,Logon/Logoff Event,failure,,,
4625,0x80090302,"Logon Failure: Probably related to NTLM beeing disabled, but is beeing used to logon",Logon/Logoff Event,failure,,,
4625,0x8009030E,Logon Failure: Probably related to Kerberos encryption types mismatching,Logon/Logoff Event,failure,,,
4627,-,Group membership information,Security Group Management,read,,,
4634,-,An account was logged off,Logon/Logoff Event,,,,
4646,-,1%,,,,,
4647,-,User initiated logoff,Logon/Logoff Event,,,,
4648,-,A logon was attempted using explicit credentials,Logon/Logoff Event,,,,
4649,-,A replay attack was detected,,,,,
4650,-,An IPsec Main Mode security association was established,,,,,
4651,-,An IPsec Main Mode security association was established,,,,,
4652,-,An IPsec Main Mode negotiation failed,,,,,
4653,-,An IPsec Main Mode negotiation failed,,,,,
4654,-,An IPsec Quick Mode negotiation failed,,,,,
4655,-,An IPsec Main Mode security association ended,,,,,
4656,-,A handle to an object was requested,Object Access Event,,,,
4657,-,A registry value was modified,Registry Event,,,,
4658,-,The handle to an object was closed,Object Access Event,,,,
4659,-,A handle to an object was requested with intent to delete,Object Access Event,,,,
4660,-,An object was deleted,Object Access Event,,,,
4661,-,A handle to an object was requested,Object Access Event,,,,
4662,-,An operation was performed on an object,Directory Service Access,,,,
4663,0x1,An attempt was made to access an object,Object Access Event,read,,filesystem,
4663,0x2,An attempt was made to access an object,Object Access Event,created,,filesystem,
4663,0x4,An attempt was made to access an object,Object Access Event,modified,,filesystem,
4663,0x8,An attempt was made to access an object,Object Access Event,read,,filesystem,
4663,0x10,An attempt was made to access an object,Object Access Event,created,,filesystem,
4663,0x20,An attempt was made to access an object,Object Access Event,,,filesystem,
4663,0x40,An attempt was made to access an object,Object Access Event,deleted,,filesystem,
4663,0x80,An attempt was made to access an object,Object Access Event,read,,filesystem,
4663,0x100,An attempt was made to access an object,Object Access Event,acl_modified,,filesystem,
4663,0x10000,An attempt was made to access an object,Object Access Event,deleted,,filesystem,
4663,0x20000,An attempt was made to access an object,Object Access Event,read,,filesystem,
4663,0x40000,An attempt was made to access an object,Object Access Event,acl_modified,,filesystem,
4663,0x80000,An attempt was made to access an object,Object Access Event,acl_modified,,filesystem,
4663,0x100000,An attempt was made to access an object,Object Access Event,read,,filesystem,
4663,0x1000000,An attempt was made to access an object,Object Access Event,acl_modified,,filesystem,
4664,-,An attempt was made to create a hard link,Object Access Event,,,filesystem,
4665,-,An attempt was made to create an application client context.,Application Event,,,,
4666,-,An application attempted an operation,Application Event,,,,
4667,-,An application client context was deleted,Application Event,,,,
4668,-,An application was initialized,Application Event,,,,
4670,-,Permissions on an object were changed,,,,,
